CustomerKey,CustomerName,CustomerCountry,CustomerCity,CustomerPostalCode,CustomerStreet,PlantKey,FullAddress,Latitude,Longitude
35,Walker-Deckow,Germany,Kiel,24109,9 Meadow Valley Pass,4,"9 Meadow Valley Pass, Kiel, 24109, Germany",54.3171885,10.0477345
36,"Fadel, Trantow and Kohler",Germany,Dillenburg,35687,69991 Manley Street,4,"69991 Manley Street, Dillenburg, 35687, Germany",50.7218455,8.3073813
37,Ruecker-Leannon,Belgium,Péruwelz,7604,0369 Golf Course Pass,4,"0369 Golf Course Pass, Péruwelz, 7604, Belgium",50.5474037,3.5567339
38,"Shields, Mitchell and Breitenberg",Germany,Düsseldorf,40489,79 Melvin Crossing,4,"79 Melvin Crossing, Düsseldorf, 40489, Germany",51.3305246,6.7625867
39,Hermiston Group,Germany,Heilbronn,74080,19283 Holmberg Place,4,"19283 Holmberg Place, Heilbronn, 74080, Germany",49.1376432,9.1776059
40,Carroll-Feest,Germany,Berlin,14199,993 Graedel Avenue,4,"993 Graedel Avenue, Berlin, 14199, Germany",52.4767935,13.2962036
41,Koelpin LLC,Germany,Köln,50674,3836 Bunting Center,4,"3836 Bunting Center, Köln, 50674, Germany",50.937531,6.9602786
42,"Auer, Price and Jerde",Germany,Berlin,14109,8 Pleasure Court,4,"8 Pleasure Court, Berlin, 14109, Germany",52.415113,13.1468678
43,Rogahn LLC,Germany,Hamburg,20249,539 Little Fleur Place,4,"539 Little Fleur Place, Hamburg, 20249, Germany",53.5900195,9.9897946
44,O'Reilly-Rempel,Germany,Augsburg,86156,666 Hanson Avenue,4,"666 Hanson Avenue, Augsburg, 86156, Germany",48.3920947,10.8553557
45,"McClure, Emard and Streich",Germany,Chemnitz,9116,5 Florence Alley,4,"5 Florence Alley, Chemnitz, 9116, Germany",50.8290179,12.872972
46,Boyle-O'Reilly,Germany,Wetzlar,35581,01 Dennis Circle,4,"01 Dennis Circle, Wetzlar, 35581, Germany",50.5487974,8.5763725
47,Connelly-Glover,Germany,Hamburg,22453,2 Lunder Hill,4,"2 Lunder Hill, Hamburg, 22453, Germany",53.6125259,9.9659855
48,"Larson, Reichert and Pfannerstill",Germany,Ludwigshafen am Rhein,67067,09 Ryan Park,4,"09 Ryan Park, Ludwigshafen am Rhein, 67067, Germany",49.4467351,8.415992
49,Heathcote-Romaguera,Belgium,Bruxelles,1170,8844 Almo Parkway,4,"8844 Almo Parkway, Bruxelles, 1170, Belgium",50.8260453,4.3802052
50,Quigley-Hodkiewicz,Belgium,Antwerpen,2170,39 High Crossing Terrace,4,"39 High Crossing Terrace, Antwerpen, 2170, Belgium",51.2472392,4.4403455
51,Padberg Inc,Germany,Mülheim an der Ruhr,45473,0 Heath Center,4,"0 Heath Center, Mülheim an der Ruhr, 45473, Germany",51.441874,6.886548
52,Bergnaum LLC,Germany,Lübeck,23568,192 Petterle Crossing,4,"192 Petterle Crossing, Lübeck, 23568, Germany",53.903083,10.7533775
53,Bailey Group,Germany,Hamburg Bramfeld,22179,75 Grayhawk Court,4,"75 Grayhawk Court, Hamburg Bramfeld, 22179, Germany",53.607925,10.0852568
54,"Buckridge, Abshire and Koss",Germany,Witzenhausen,37217,193 Morning Park,4,"193 Morning Park, Witzenhausen, 37217, Germany",51.349366,9.7730968
55,"McClure, Blick and Schultz",Germany,Bremen,28239,75 North Lane,4,"75 North Lane, Bremen, 28239, Germany",53.132048,8.7398289
56,Batz Group,Germany,Köln,51107,0170 Glendale Court,4,"0170 Glendale Court, Köln, 51107, Germany",50.9173381,7.0902515
57,Runte-Vandervort,Germany,Magdeburg,39130,938 Harbort Way,4,"938 Harbort Way, Magdeburg, 39130, Germany",52.1557661,11.5721966
58,Emard-Cronin,Germany,Hamburg Bramfeld,22179,97243 Karstens Lane,4,"97243 Karstens Lane, Hamburg Bramfeld, 22179, Germany",53.6132273,10.0872317
59,"Douglas, Murazik and Zieme",Germany,Halle,6116,0 Walton Avenue,4,"0 Walton Avenue, Halle, 6116, Germany",51.4787653,12.0365785
60,"Bradtke, Jakubowski and Nicolas",Germany,Hamburg,22453,7 Larry Crossing,4,"7 Larry Crossing, Hamburg, 22453, Germany",53.6125259,9.9659855
61,"Walker, Stracke and Bechtelar",Germany,Berlin,12683,652 International Alley,4,"652 International Alley, Berlin, 12683, Germany",52.4981613,13.5581889
62,"Rempel, Purdy and Deckow",Germany,Berlin,10823,83 Westridge Point,4,"83 Westridge Point, Berlin, 10823, Germany",52.4856992,13.3488258
63,Littel LLC,Germany,Berlin,13088,55688 Sundown Alley,4,"55688 Sundown Alley, Berlin, 13088, Germany",52.5593051,13.4761485
64,Schowalter and Sons,Belgium,Mons,7032,12458 Burrows Park,4,"12458 Burrows Park, Mons, 7032, Belgium",50.4546634,3.9523135
65,Aufderhar Group,Germany,München,81679,01 Cottonwood Alley,4,"01 Cottonwood Alley, München, 81679, Germany",48.1351253,11.5819806
66,Jacobson LLC,Germany,Dortmund,44369,992 Eagan Alley,4,"992 Eagan Alley, Dortmund, 44369, Germany",51.5353894,7.4091222
67,Stanton-Nienow,Germany,Bremen,28239,95 Bonner Pass,4,"95 Bonner Pass, Bremen, 28239, Germany",53.0771771,8.9334792
68,Denesik-Lesch,Germany,Köln,50935,92 Spohn Avenue,4,"92 Spohn Avenue, Köln, 50935, Germany",50.9210958,6.8968829
69,McClure-Wolf,Germany,Dortmund,44143,4 Morning Alley,4,"4 Morning Alley, Dortmund, 44143, Germany",51.5195303,7.5123813
70,Walker-Oberbrunner,Germany,Berlin,10587,68 Hintze Avenue,4,"68 Hintze Avenue, Berlin, 10587, Germany",52.5199521,13.3007916
71,Smitham-Ernser,Germany,Stuttgart,70567,1394 Golf Course Lane,4,"1394 Golf Course Lane, Stuttgart, 70567, Germany",48.7226206,9.1584836
72,Towne-Weber,Germany,Wiesbaden,65191,0 Hallows Way,4,"0 Hallows Way, Wiesbaden, 65191, Germany",50.0897141,8.271907
73,VonRueden LLC,Germany,Berlin,10409,7286 Forest Hill,4,"7286 Forest Hill, Berlin, 10409, Germany",52.5433958,13.4413606
74,"Balistreri, Koelpin and Mayert",Germany,Berlin,12559,7 Corry Alley,4,"7 Corry Alley, Berlin, 12559, Germany",52.416925,13.6492904
75,Rath and Sons,Germany,Bielefeld,33619,4804 Golden Leaf Lane,4,"4804 Golden Leaf Lane, Bielefeld, 33619, Germany",52.0404442,8.4770585
76,Nicolas and Sons,Germany,Hanau,63456,96667 Onsgard Circle,4,"96667 Onsgard Circle, Hanau, 63456, Germany",50.104315,8.911141
77,"Bashirian, Herman and McDermott",Germany,Hannover,30629,00 Harbort Junction,4,"00 Harbort Junction, Hannover, 30629, Germany",52.3927372,9.8476686
78,"Mann, Borer and Cormier",Belgium,Bouillon,6834,5 Moulton Lane,4,"5 Moulton Lane, Bouillon, 6834, Belgium",49.7946562,5.070639
79,"Dooley, Legros and Fritsch",Germany,Frankfurt am Main,60325,8 Canary Pass,4,"8 Canary Pass, Frankfurt am Main, 60325, Germany",50.1157078,8.6591469
80,Strosin LLC,Germany,Berlin,12169,983 Dennis Hill,4,"983 Dennis Hill, Berlin, 12169, Germany",52.4555293,13.339803
81,Bruen and Sons,Germany,Stuttgart Stuttgart-Mitte,70180,847 Oakridge Center,4,"847 Oakridge Center, Stuttgart Stuttgart-Mitte, 70180, Germany",48.7643143,9.1752629
82,Hartmann and Sons,Germany,Hamburg Winterhude,22303,38427 Elgar Street,4,"38427 Elgar Street, Hamburg Winterhude, 22303, Germany",53.5910631,10.0260615
83,Oberbrunner-Predovic,Germany,Essen,45141,76 Clemons Hill,4,"76 Clemons Hill, Essen, 45141, Germany",51.4780256,7.0328812
84,Volkman-Hessel,Germany,Solingen,42659,7922 Warner Road,4,"7922 Warner Road, Solingen, 42659, Germany",51.1461168,7.1220857
85,"Rosenbaum, Kris and Bailey",Germany,Augsburg,86156,92177 Leroy Pass,4,"92177 Leroy Pass, Augsburg, 86156, Germany",48.3920947,10.8553557
86,"Hickle, Wehner and Schuster",Belgium,Bruxelles,1050,2 Welch Drive,4,"2 Welch Drive, Bruxelles, 1050, Belgium",50.8235717,4.3766927
87,Friesen and Sons,Germany,Dortmund,44143,8213 Green Junction,4,"8213 Green Junction, Dortmund, 44143, Germany",51.5195303,7.5123813
88,"Murray, Dach and Koch",Germany,Hamburg,22041,86371 Tomscot Plaza,4,"86371 Tomscot Plaza, Hamburg, 22041, Germany",53.5488282,9.9871703
89,"Hansen, Zboncak and McCullough",Germany,Wuppertal,42349,7 Sage Trail,4,"7 Sage Trail, Wuppertal, 42349, Germany",51.2034374,7.1301012
90,"Borer, Gibson and Reynolds",Germany,Mülheim an der Ruhr,45473,41 David Lane,4,"41 David Lane, Mülheim an der Ruhr, 45473, Germany",51.441874,6.886548
91,Cremin-Breitenberg,Germany,Berlin,12103,00483 Heffernan Park,4,"00483 Heffernan Park, Berlin, 12103, Germany",52.4639426,13.3728893
92,Mueller Inc,Germany,Wiesbaden,65191,203 Birchwood Trail,4,"203 Birchwood Trail, Wiesbaden, 65191, Germany",50.0897141,8.271907
93,Cartwright Inc,Germany,Berlin,13509,68856 Bay Circle,4,"68856 Bay Circle, Berlin, 13509, Germany",52.5200066,13.404954
94,Wilkinson Inc,Germany,Dresden,1189,6 Starling Drive,4,"6 Starling Drive, Dresden, 1189, Germany",51.0504088,13.7372621
95,Schuppe Inc,Germany,Hamburg,22559,001 Judy Court,4,"001 Judy Court, Hamburg, 22559, Germany",53.5830905,9.7537598
96,Ondricka-Carroll,Germany,Hannover,30453,25309 Burrows Way,4,"25309 Burrows Way, Hannover, 30453, Germany",52.3758916,9.7320104
97,Wisozk Group,Belgium,Bruxelles,1170,09 Village Green Plaza,4,"09 Village Green Plaza, Bruxelles, 1170, Belgium",50.7881573,4.4180065
98,McKenzie and Sons,Germany,Heilbronn,74080,37 Nancy Pass,4,"37 Nancy Pass, Heilbronn, 74080, Germany",49.1376432,9.1776059
99,"Baumbach, Nolan and Barrows",Belgium,Ninove,9404,88222 Arapahoe Center,4,"88222 Arapahoe Center, Ninove, 9404, Belgium",50.8441986,3.9438609
100,"Kunze, Emmerich and Sporer",Belgium,Gent,9052,251 Atwood Road,4,"251 Atwood Road, Gent, 9052, Belgium",51.0003903,3.7139045
101,Jakubowski-Greenfelder,Germany,Würzburg,97078,3 Rieder Lane,4,"3 Rieder Lane, Würzburg, 97078, Germany",49.7522194,9.9412178
102,Monahan LLC,Germany,Wiesbaden,65191,7 Eagan Avenue,4,"7 Eagan Avenue, Wiesbaden, 65191, Germany",50.0897141,8.271907
103,Stracke-Dare,Germany,Hamburg Sankt Pauli,20459,42698 Del Mar Point,4,"42698 Del Mar Point, Hamburg Sankt Pauli, 20459, Germany",53.5472987,9.9778279
104,Mohr and Sons,Germany,Leipzig,4288,5858 Bobwhite Crossing,4,"5858 Bobwhite Crossing, Leipzig, 4288, Germany",51.2928924,12.4645518
105,Heathcote Inc,Germany,Düsseldorf,40215,03073 Mayer Hill,4,"03073 Mayer Hill, Düsseldorf, 40215, Germany",51.2149435,6.7825598
106,Pacocha LLC,Germany,Düsseldorf,40225,130 Continental Point,4,"130 Continental Point, Düsseldorf, 40225, Germany",51.1974375,6.7898817
107,Brekke and Sons,Germany,Hamburg,22769,5 Meadow Ridge Trail,4,"5 Meadow Ridge Trail, Hamburg, 22769, Germany",53.5662722,9.9471012
108,Hickle LLC,Belgium,Mons,7032,6548 Prairieview Street,4,"6548 Prairieview Street, Mons, 7032, Belgium",50.4271996,3.989666
109,Kemmer-Smith,Germany,Dresden,1462,37258 Iowa Trail,4,"37258 Iowa Trail, Dresden, 1462, Germany",51.0504088,13.7372621
110,Reichel Inc,Germany,Hamburg,22559,2 Logan Lane,4,"2 Logan Lane, Hamburg, 22559, Germany",53.5830905,9.7537598
111,"Jaskolski, Wiegand and Dickens",Germany,Düsseldorf,40225,842 Fisk Junction,4,"842 Fisk Junction, Düsseldorf, 40225, Germany",51.1974375,6.7898817
112,Davis Inc,Germany,Frankfurt am Main,60325,013 Hovde Parkway,4,"013 Hovde Parkway, Frankfurt am Main, 60325, Germany",50.1157078,8.6591469
113,Hayes Group,Germany,Stuttgart,70190,30131 Briar Crest Place,4,"30131 Briar Crest Place, Stuttgart, 70190, Germany",48.7893977,9.1962771
114,Streich Group,Germany,Freiburg im Breisgau,79114,70 Myrtle Crossing,4,"70 Myrtle Crossing, Freiburg im Breisgau, 79114, Germany",47.9963155,7.8107621
115,McCullough-Kihn,Germany,Berlin,10179,656 Longview Court,4,"656 Longview Court, Berlin, 10179, Germany",52.5121401,13.414046
116,Vandervort Inc,Germany,Remscheid,42897,390 Petterle Alley,4,"390 Petterle Alley, Remscheid, 42897, Germany",51.1730117,7.2822788
117,Lubowitz Group,Germany,Wiesbaden,65191,0962 Autumn Leaf Point,4,"0962 Autumn Leaf Point, Wiesbaden, 65191, Germany",50.0897141,8.271907
118,Sanford Inc,Germany,Nürnberg,90411,8378 Cherokee Point,4,"8378 Cherokee Point, Nürnberg, 90411, Germany",49.4904742,11.0986834
119,Brekke-Fritsch,Germany,Dortmund,44143,7 Autumn Leaf Crossing,4,"7 Autumn Leaf Crossing, Dortmund, 44143, Germany",51.5195303,7.5123813
120,Hilpert LLC,Belgium,Momignies,6594,13462 Carey Road,4,"13462 Carey Road, Momignies, 6594, Belgium",50.0109884,4.1638985
121,Gleason Group,Germany,Hannover,30453,3060 Elmside Alley,4,"3060 Elmside Alley, Hannover, 30453, Germany",52.3723858,9.6890537
122,"Kihn, Larkin and Fadel",Germany,München,80337,46 Amoth Alley,4,"46 Amoth Alley, München, 80337, Germany",48.1373246,11.5711203
123,Wuckert-Cormier,Germany,Halle,6126,313 Declaration Avenue,4,"313 Declaration Avenue, Halle, 6126, Germany",51.4953567,11.9662371
124,Legros Group,Belgium,Ninove,9404,4560 Cody Way,4,"4560 Cody Way, Ninove, 9404, Belgium",50.8441986,3.9438609
125,Ward Group,Germany,Hamburg,20359,712 Sullivan Way,4,"712 Sullivan Way, Hamburg, 20359, Germany",53.5511779,9.9641759
126,Fahey and Sons,Germany,Wuppertal,42285,65884 Vermont Court,4,"65884 Vermont Court, Wuppertal, 42285, Germany",51.2562128,7.1507636
127,Wunsch LLC,Belgium,Gent,9052,05461 Riverside Circle,4,"05461 Riverside Circle, Gent, 9052, Belgium",51.0003903,3.7139045
128,Wiegand and Sons,Germany,München,80686,6 Bultman Parkway,4,"6 Bultman Parkway, München, 80686, Germany",48.1288628,11.5089621
129,Reichel-Beatty,Germany,Berlin,10587,30281 Eggendart Park,4,"30281 Eggendart Park, Berlin, 10587, Germany",52.5200066,13.404954
130,"Turcotte, Bruen and Jenkins",Germany,Dortmund,44369,05 Raven Center,4,"05 Raven Center, Dortmund, 44369, Germany",51.5353894,7.4091222
131,"Christiansen, Kuphal and Hermiston",Germany,Freiburg im Breisgau,79106,4 Lukken Circle,4,"4 Lukken Circle, Freiburg im Breisgau, 79106, Germany",48.0044582,7.8374651
132,"Fadel, Klein and Rowe",Germany,Münster,48161,2 Nevada Alley,4,"2 Nevada Alley, Münster, 48161, Germany",51.9606649,7.6261347
133,Schmitt Inc,Germany,Braunschweig,38106,615 Alpine Street,4,"615 Alpine Street, Braunschweig, 38106, Germany",52.2802311,10.5390217
134,"Erdman, Waters and Towne",Germany,Dortmund,44369,06 Iowa Park,4,"06 Iowa Park, Dortmund, 44369, Germany",51.5353894,7.4091222
135,"Runolfsdottir, Erdman and Wintheiser",Germany,Hamburg Bramfeld,22179,7282 6th Circle,4,"7282 6th Circle, Hamburg Bramfeld, 22179, Germany",53.607925,10.0852568
136,"Gutmann, Schaefer and Morissette",Germany,Braunschweig,38126,85 Merrick Place,4,"85 Merrick Place, Braunschweig, 38126, Germany",52.2346447,10.5665003
137,Parisian LLC,Germany,Chemnitz,9116,005 Vermont Court,4,"005 Vermont Court, Chemnitz, 9116, Germany",50.8282222,12.9208547
138,Leuschke-Mills,Belgium,Péruwelz,7604,9 Lotheville Terrace,4,"9 Lotheville Terrace, Péruwelz, 7604, Belgium",50.5474037,3.5567339
139,Bernhard-Bartell,Germany,Augsburg,86156,33 Morning Parkway,4,"33 Morning Parkway, Augsburg, 86156, Germany",48.3920947,10.8553557
140,"Casper, McCullough and Price",Germany,Hamburg Sankt Pauli,20459,27060 Barnett Place,4,"27060 Barnett Place, Hamburg Sankt Pauli, 20459, Germany",53.5472987,9.9778279
141,Bayer-Nienow,Germany,Remscheid,42897,81491 Hanover Road,4,"81491 Hanover Road, Remscheid, 42897, Germany",51.1730117,7.2822788
142,"Boehm, Parker and Glover",Germany,Hamburg,22559,54 Bobwhite Lane,4,"54 Bobwhite Lane, Hamburg, 22559, Germany",53.5830905,9.7537598
143,Macejkovic-Wilkinson,Belgium,Namur,5100,0476 Mayer Trail,4,"0476 Mayer Trail, Namur, 5100, Belgium",50.4524244,4.8514935
144,"Smith, King and Dach",Germany,Dortmund,44269,9336 Melrose Hill,4,"9336 Melrose Hill, Dortmund, 44269, Germany",51.4918437,7.5319762
145,"Ebert, Stroman and Cummerata",Germany,Berlin,12307,4861 Pawling Court,4,"4861 Pawling Court, Berlin, 12307, Germany",41.5620381,-73.6026271
146,Ferry and Sons,Germany,Augsburg,86156,101 Evergreen Lane,4,"101 Evergreen Lane, Augsburg, 86156, Germany",48.3920947,10.8553557
147,"Quitzon, Sanford and Nienow",Belgium,Bouillon,6834,609 Forest Court,4,"609 Forest Court, Bouillon, 6834, Belgium",49.8417042,5.1214901
148,Brekke Group,Germany,Hamburg,22769,18708 Porter Crossing,4,"18708 Porter Crossing, Hamburg, 22769, Germany",53.5488282,9.9871703
149,McLaughlin-Stiedemann,Germany,München,80686,54973 Daystar Junction,4,"54973 Daystar Junction, München, 80686, Germany",48.1288628,11.5089621
150,Runte Group,Germany,Würzburg,97078,94538 Summit Terrace,4,"94538 Summit Terrace, Würzburg, 97078, Germany",49.8180135,9.9637931
151,"Connelly, Bins and Huel",Belgium,Bouillon,6834,232 Stephen Place,4,"232 Stephen Place, Bouillon, 6834, Belgium",49.8417042,5.1214901
152,Buckridge-Murazik,Germany,Berlin,10409,816 Jana Trail,4,"816 Jana Trail, Berlin, 10409, Germany",52.5433958,13.4413606
153,Hodkiewicz LLC,Germany,Wuppertal,42349,3885 Eagan Trail,4,"3885 Eagan Trail, Wuppertal, 42349, Germany",51.2034374,7.1301012
154,Lynch-Goyette,Germany,Dortmund,44369,3166 Bashford Terrace,4,"3166 Bashford Terrace, Dortmund, 44369, Germany",51.5353894,7.4091222
155,"Wolff, Friesen and Daugherty",Germany,Münster,48161,48 Evergreen Avenue,4,"48 Evergreen Avenue, Münster, 48161, Germany",51.9601912,7.5468477
156,Pacocha and Sons,Germany,München,80337,169 Hansons Court,4,"169 Hansons Court, München, 80337, Germany",48.1251024,11.5584376
157,Koepp LLC,Germany,München,80686,459 Nobel Terrace,4,"459 Nobel Terrace, München, 80686, Germany",48.1288628,11.5089621
158,Kutch LLC,Germany,Gelsenkirchen,45886,4 Jay Street,4,"4 Jay Street, Gelsenkirchen, 45886, Germany",51.4964248,7.1215271
159,"Hamill, Paucek and Emmerich",Germany,Berlin,12045,9 Havey Alley,4,"9 Havey Alley, Berlin, 12045, Germany",52.4867189,13.4343715
160,"Kulas, Wisozk and Wiegand",Germany,Freiburg im Breisgau,79106,7898 Dovetail Point,4,"7898 Dovetail Point, Freiburg im Breisgau, 79106, Germany",48.0044582,7.8374651
161,"Kessler, Dickinson and Rohan",Germany,Braunschweig,38126,6127 Westport Junction,4,"6127 Westport Junction, Braunschweig, 38126, Germany",52.2346447,10.5665003
162,Boehm Group,Belgium,Tournai,7504,833 Dakota Court,4,"833 Dakota Court, Tournai, 7504, Belgium",50.585206,3.3300918
163,"Lueilwitz, Hoppe and Bogan",Germany,Offenbach,63073,10556 Elka Plaza,4,"10556 Elka Plaza, Offenbach, 63073, Germany",50.0809432,8.8107219
164,Boyer Inc,Germany,Berlin,10587,46 Eggendart Pass,4,"46 Eggendart Pass, Berlin, 10587, Germany",52.5170826,13.3236611
165,Hyatt LLC,Germany,Braunschweig,38126,3703 Kinsman Crossing,4,"3703 Kinsman Crossing, Braunschweig, 38126, Germany",52.2346447,10.5665003
166,"Becker, Schmeler and Johns",Germany,Hamburg,20359,7 Ryan Avenue,4,"7 Ryan Avenue, Hamburg, 20359, Germany",53.5511779,9.9641759
167,Moore LLC,Germany,Düsseldorf,40591,3266 Delladonna Parkway,4,"3266 Delladonna Parkway, Düsseldorf, 40591, Germany",51.1879547,6.8173593
168,Kozey Group,Germany,Köln,50935,02330 Schurz Way,4,"02330 Schurz Way, Köln, 50935, Germany",50.9210958,6.8968829
169,"Rohan, Heathcote and Harber",Germany,Köln,51149,680 Glendale Park,4,"680 Glendale Park, Köln, 51149, Germany",50.9093945,7.0486698
170,"Nolan, Carter and Upton",Germany,Dortmund,44269,6216 Prairieview Way,4,"6216 Prairieview Way, Dortmund, 44269, Germany",51.4918437,7.5319762
171,Howell-Kautzer,Germany,Nürnberg,90411,59 Hauk Street,4,"59 Hauk Street, Nürnberg, 90411, Germany",49.4904742,11.0986834
172,Parker-Renner,Germany,Witzenhausen,37217,9760 Talisman Park,4,"9760 Talisman Park, Witzenhausen, 37217, Germany",51.349366,9.7730968
173,"Daugherty, Schuppe and Boyer",Germany,Berlin,10823,30478 Rusk Terrace,4,"30478 Rusk Terrace, Berlin, 10823, Germany",52.4856992,13.3488258
174,"Strosin, Boyle and Smitham",Germany,Bremerhaven,27576,04 Chinook Place,4,"04 Chinook Place, Bremerhaven, 27576, Germany",53.5567847,8.5929499
175,"Crooks, Satterfield and Anderson",Germany,Frankfurt am Main,60549,18 Nancy Park,4,"18 Nancy Park, Frankfurt am Main, 60549, Germany",50.041381,8.5800547
176,"Kuvalis, Hauck and Ortiz",Germany,Hannover,30453,7 Kedzie Plaza,4,"7 Kedzie Plaza, Hannover, 30453, Germany",52.3758916,9.7320104
177,Berge-Brown,Germany,München,81373,486 Center Place,4,"486 Center Place, München, 81373, Germany",48.1214727,11.5322563
178,Weber-Jacobi,Germany,Würzburg,97078,499 Oak Valley Junction,4,"499 Oak Valley Junction, Würzburg, 97078, Germany",41.5676962,-93.7565884
179,DuBuque and Sons,Germany,Dortmund,44143,4 Hoffman Court,4,"4 Hoffman Court, Dortmund, 44143, Germany",51.5195303,7.5123813
180,Roberts LLC,Germany,Münster,48161,15432 Corry Circle,4,"15432 Corry Circle, Münster, 48161, Germany",51.9601912,7.5468477
